0,0.661,0.677,0.653,0.656,0.66
200,1.151,1.151,1.169,1.145,1.19
500,1.645,1.641,1.64,1.64,1.669
750,2.361,2.325,2.331,2.365,2.343
1000,2.491,2.469,2.481,2.468,2.495
1250,2.649,2.638,2.629,2.617,2.644
1500,2.812,2.792,2.799,2.784,2.79
1750,2.97,2.959,2.951,2.954,2.977
2000,2.969,2.976,2.96,2.98,2.973
